relation.code,relation.type,relation.short,relation.long.desc,visibility,correctness,comments.scores,participant.ID,cond
XYPG1,path-building.relations,Path to building 1?,"Correct, if both conditions apply:
- the first segment of the path goes through the building
- The last segment of the path overlaps with the building and goes across it",1,1,NA,101,2D
ZPG1,path-building.relations,Path to building 1?,"Correct, if both conditions apply:
- the first segment of the path goes under the roof
- The last segment of the path is above the roof",1,0,NA,101,2D
XYPG2,path-building.relations,Path to building 2?,"Correct, if the path comes through the building",1,1,NA,101,2D
ZPG2,path-building.relations,Path to building 2?,"Correct, if the path comes through the openning in the top of the building",1,0,NA,101,2D
XYPG3,path-building.relations,Path to building 3?,"Correct, if the path makes a left turn behind the building",0,NA,NA,101,2D
ZPG3,path-building.relations,Path to building 3?,"Correct, the path's height is in the top half part of the building",1,0,NA,101,2D
XYPG4,path-building.relations,Path to building 4?,"Correct, if the path is to the right side of the building and does not cross/overlap it",0,NA,NA,101,2D
ZPG4,path-building.relations,Path to building 4?,"Correct, if the path's height is in the top half part of the building",1,0,NA,101,2D
XYPG5,path-building.relations,Path to building 5?,"Correct, if the path goes between two towers",1,0,NA,101,2D
ZPG5,path-building.relations,Path to building 5?,"Correct, if the path goes under the bridge of the building",1,0,NA,101,2D
XYPG6,path-building.relations,Path to building 6?,"Correct, if the path makes 2 circles around the building",1,0,NA,101,2D
ZPG6,path-building.relations,Path to building 6?,"Correct, if the path starts from the bottom and goes higher while circumnavigating the building",1,0,NA,101,2D
XNP,object-path.relations,Rhino to path? X (from left to right of the front of the first building),"Correct, if the Rhino is inside the circle path segment that goes around building 6",1,0,NA,101,2D
YNP,object-path.relations,Y (front to back of the first building),"Correct, if Rhino is in between the front side of the circle path segment and building 6",1,0,NA,101,2D
ZNP,object-path.relations,Z (height),"Correct, if the Rhino is lower than all path lines that goes around building 6",0,NA,NA,101,2D
XSP,object-path.relations,Sheep to path? X (from left to right of the front of the first building),"Correct, if the Sheep is further left than the left turn segment that goes behind building 3",0,NA,NA,101,2D
YSP,object-path.relations,Y (front to back of the first building),"Correct, if Sheep is closer to the front than the left turn segment that goes behind building 3",0,NA,NA,101,2D
ZSP,object-path.relations,Z (height),"Correct, if Sheep is on the same height(overlapped boundaries in the Z-direction) as the left turn segment that goes behind building 3",1,0,NA,101,2D
XHP,object-path.relations,Shark to path? X (from left to right of the front of the first building),"Correct, if Shark is further to the left than any part of the path",0,NA,NA,101,2D
YHP,object-path.relations,Y (front to back of the first building),"Correct, if the Shark is between the 2 turns at the beginning and at the end of building 4",1,1,NA,101,2D
